address;number_floats
115184, Москва, Город Москва, Улица Бахрушина, дом 11, стр. 1;1
115184, Москва, Город Москва, Переулок Климентовский, дом 1/18, стр. 1;2
115035, Москва, Город Москва, Улица Ордынка Большая, дом 7, к. 1;1
115035, Москва, Город Москва, Улица Ордынка Большая, дом 17, к. 1;64
115035, Москва, Город Москва, Улица Садовническая, дом 6, стр. 11;1
119017, Москва, Город Москва, Улица Ордынка Большая, дом 23, стр. 3;1
Россия, Москва, Садовническая набережная, 55;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 18;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 7/9, стр. 5;1
119017, Москва, Город Москва, Улица Ордынка Большая, дом 23, стр. 2;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 14;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 7/9, стр. 1;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 12;1
109004, Москва, Город Москва, Улица Николоямская, дом 3, к. 3А;96
109240, Москва, Город Москва, Проезд Устьинский, дом 2/14;1
119019, Москва, Город Москва, Улица Манежная, дом 7;1
119019, Москва, Город Москва, Улица Манежная, дом 9;1
Россия, Москва, Тессинский переулок, 5с5;1
109028, Москва, Город Москва, Переулок Тессинский, дом 5, стр. 1;1
109028, Москва, Город Москва, Переулок Тессинский, дом 5, стр. 2;1
125009, Москва, Город Москва, Улица Манежная, дом 1;1
Россия, Москва, Тессинский переулок, 5с4;1
115035, Москва, Город Москва, Улица Садовническая, дом 12, к. 1;1
115035, Москва, Город Москва, Улица Садовническая, дом 47, стр. 2;1
119002, Москва, Город Москва, Переулок Власьевский Малый, дом 7;58
119017, Москва, Город Москва, Переулок Старомонетный, дом 19/11, стр. 1;1
119017, Москва, Город Москва, Переулок Старомонетный, дом 19/11, стр. 2;1
109004, Москва, Город Москва, Улица Николоямская, дом 3, к. 2А;96
119002, Москва, Город Москва, Переулок Власьевский Малый, дом 9;1
115035, Москва, Город Москва, Набережная Космодамианская, дом 24, стр. 1;1
119017, Москва, Город Москва, Переулок Старомонетный, дом 19/11, стр. 7;1
119072, Москва, Город Москва, Набережная Софийская, дом 18/8, стр. 3;1
119017, Москва, Город Москва, Переулок Старомонетный, дом 19/11, стр. 5;1
109028, Москва, Город Москва, Переулок Ивановский Малый, дом 11/6, стр. 1;38
119072, Москва, Город Москва, Набережная Софийская, дом 18/8, стр. 5;1
Россия, Москва, Малый Ивановский переулок, 11/6с2;1
Россия, Москва, Малый Ивановский переулок, 11/6с3;1
Россия, Москва, улица Знаменка, 8/13с4;1
115035, Москва, Город Москва, Набережная Раушская, дом 14, стр. 1;1
119019, Москва, Город Москва, Улица Знаменка, дом 8/13, стр. 2;1
119180, Москва, Город Москва, Улица Полянка Большая, дом 2/10;1
115035, Москва, Город Москва, Набережная Садовническая, дом 45;1
115035, Москва, Город Москва, Улица Садовническая, дом 6, стр. 25;1
115035, Москва, Город Москва, Набережная Садовническая, дом 47;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 26, стр. 6;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 26, стр. 2;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 26, стр. 1;1
115035, Москва, Город Москва, Набережная Садовническая, дом 49;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 26, стр. 3;1
109004, Москва, Город Москва, Улица Николоямская, дом 3, к. 4А;126
115035, Москва, Город Москва, Улица Пятницкая, дом 3/4, стр. 1;1
115035, Москва, Город Москва, Улица Пятницкая, дом 3/4, стр. 2;1
119019, Москва, Город Москва, Улица Ленивка, дом 3, стр. 11;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 17;15
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 16;1
115035, Москва, Город Москва, Улица Садовническая, дом 54, к. 2;1
109012, Москва, Город Москва, Улица Варварка, дом 8, стр. 1;1
115035, Москва, Город Москва, Переулок Кадашевский 1-й, дом 3;1
115035, Москва, Город Москва, Переулок Кадашевский 1-й, дом 9;1
115035, Москва, Город Москва, Улица Садовническая, дом 41, стр. 1;1
119017, Москва, Город Москва, Улица Новокузнецкая, дом 24, стр. 1;1
115035, Москва, Город Москва, Улица Садовническая, дом 41, стр. 2;1
119017, Москва, Город Москва, Улица Ордынка Большая, дом 29, стр. 1;1
119017, Москва, Город Москва, Улица Новокузнецкая, дом 24, стр. 2;1
119017, Москва, Город Москва, Улица Новокузнецкая, дом 24, стр. 3;1
103132, Москва, Город Москва, Площадь Старая, дом 8/5, стр. 1;1
119019, Москва, Город Москва, Переулок Афанасьевский Малый, дом 14/34, стр. 2;1
125009, Москва, Город Москва, Улица Воздвиженка, дом 4/7, стр. 1;1
119019, Москва, Город Москва, Переулок Афанасьевский Малый, дом 14/34, стр. 1;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 12;49
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 11;1
103132, Москва, Город Москва, Площадь Старая, дом 8/5, стр. 2;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 10;29
Россия, Москва, Болотная набережная, 15;1
115035, Москва, Город Москва, Улица Садовническая, дом 12, стр. 8;1
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 27, стр. 2;1
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 27, стр. 1;1
Россия, Москва, улица Ленивка, 3к2;1
Россия, Москва, Большой Афанасьевский переулок, 27с4;1
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 27, стр. 3;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 48, стр. 4;1
Россия, Москва, Малый Ивановский переулок, 4с2;1
Россия, Москва, Малый Ивановский переулок, 4с1;1
Россия, Москва, Малый Ивановский переулок, 4с3;1
119019, Москва, Город Москва, Улица Моховая, дом 16;1
115035, Москва, Город Москва, Набережная Кадашевская, дом 24, стр. 1;1
119019, Москва, Город Москва, Улица Моховая, дом 12;1
119072, Москва, Город Москва, Набережная Болотная, дом 13;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 13, стр. 1;1
119017, Москва, Город Москва, Улица Пятницкая, дом 33/35, стр. 4;1
119072, Москва, Город Москва, Набережная Софийская, дом 22, стр. 1;1
119017, Москва, Город Москва, Улица Пятницкая, дом 33/35, стр. 3;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 13, стр. 4;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 13, стр. 5;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 13, стр. 6;1
119002, Москва, Город Москва, Улица Арбат, дом 21, стр. 1;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 12/5, стр. 8;1
Россия, Москва, Яузский бульвар, 9/6с10;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 8;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 17, стр. 3;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 6;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 26;14
119002, Москва, Город Москва, Переулок Староконюшенный, дом 17, стр. 1;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 4;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 3;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 2;1
Россия, Москва, 3-й Кадашёвский переулок, 1;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 2;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 5;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 4;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 7;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 6;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 9;1
119180, Москва, Город Москва, Переулок Старомонетный, дом 6, стр. 8;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 9;1
115054, Москва, Город Москва, Улица Новокузнецкая, дом 29/31;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 20;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 24;22
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 22;1
Россия, Москва, Большой Овчинниковский переулок, 21;1
119017, Москва, Город Москва, Улица Пятницкая, дом 51/14, стр. 3;1
119017, Москва, Город Москва, Улица Пятницкая, дом 51/14, стр. 1;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 28, к. 1;1
115035, Москва, Город Москва, Набережная Софийская, дом 30/3;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 28, к. 2;1
119019, Москва, Город Москва, Переулок Знаменский Малый, дом 10;1
115184, Москва, Город Москва, Набережная Озерковская, дом 8/14, стр. 2;1
119017, Москва, Город Москва, Набережная Кадашевская, дом 14, стр. 4;1
Россия, Москва, улица Забелина, 1А;1
Россия, Москва, Калошин переулок, 6-8с18;1
115035, Москва, Город Москва, Набережная Садовническая, дом 37, стр. 1;1
Россия, Москва, Дурасовский переулок, 1с1;1
Россия, Москва, Дурасовский переулок, 1с4;1
Россия, Москва, Серебрянический переулок, 15;1
115035, Москва, Город Москва, Набережная Садовническая, дом 37, стр. 4;1
115035, Москва, Город Москва, Набережная Садовническая, дом 37, стр. 2;1
115035, Москва, Город Москва, Набережная Садовническая, дом 37, стр. 3;1
Россия, Москва, Хохловский переулок, 2/1с1;1
Россия, Москва, Берсеневская набережная, 18-20-22с3;1
115035, Москва, Город Москва, Улица Пятницкая, дом 20, стр. 6;1
